"","size","size","dist","test","p.value","z","type"
"1",10,10,"Log-normal","shapiro.test",0.920671315916447,0.76,"SL"
"2",10,10,"Gamma","ad.test",0.753429605552035,0.75,"SL"
"3",10,10,"Uniform","energy.test",0.838383838383838,0.71,"SL"
"4",10,10,"t","cvm.test",0.680300094327387,0.69,"SL"
"5",10,10,"Log-normal","lillie.test",0.733880000160916,0.64,"SL"
"6",10,10,"Gamma","pearson.test",0.849467033391825,0.68,"SB"
"7",10,10,"Uniform","sf.test",0.852012000414454,0.54,"SL"
"8",10,10,"t","jarque.test",0.999176410396212,0.88,"SB"
"9",10,10,"Log-normal","shapiro.test",0.843737549317076,0.97,"SB"
"10",10,10,"Gamma","ad.test",0.617493826277557,0.96,"SB"
"11",10,10,"Uniform","energy.test",0.727272727272727,0.93,"SB"
"12",10,10,"t","cvm.test",0.689805345469416,0.96,"SB"
"13",10,10,"Log-normal","lillie.test",0.614785237866112,1.01,"SB"
"14",10,10,"Gamma","pearson.test",0.849467033391825,0.83,"SB"
"15",10,10,"Uniform","sf.test",0.520085768794919,0.97,"SB"
"16",10,10,"t","jarque.test",0.970427273198562,1.02,"SB"
"17",10,10,"Log-normal","shapiro.test",0.598101580238959,1.21,"SB"
"18",10,10,"Gamma","ad.test",0.347806375134162,1.21,"SB"
"19",10,10,"Uniform","energy.test",0.404040404040404,1.16,"SB"
"20",10,10,"t","cvm.test",0.348301533220214,1.21,"SB"
"21",10,10,"Log-normal","lillie.test",0.503954281559959,1.19,"SB"
"22",10,10,"Gamma","pearson.test",0.361805027497532,NA,NA
"23",10,10,"Uniform","sf.test",0.279389337540476,1.21,"SB"
"24",10,10,"t","jarque.test",0.938275572224871,1.22,"SB"
"25",10,10,"Log-normal","shapiro.test",0.576362279766474,1.22,"SB"
"26",10,10,"Gamma","ad.test",0.326798988759845,1.22,"SB"
"27",10,10,"Uniform","energy.test",0.393939393939394,1.11,"SB"
"28",10,10,"t","cvm.test",0.307983175753471,NA,NA
"29",10,10,"Log-normal","lillie.test",0.344441486948787,NA,NA
"30",10,10,"Gamma","pearson.test",0.849467033391825,1.05,"SB"
"31",10,10,"Uniform","sf.test",0.293817545659881,1.22,"SB"
"32",10,10,"t","jarque.test",0.912956808488978,1.22,"SB"
"33",10,10,"Log-normal","shapiro.test",0.995430708003472,0.64,"SB"
"34",10,10,"Gamma","ad.test",0.961127301657923,0.61,"SB"
"35",10,10,"Uniform","energy.test",1,0.61,"SB"
"36",10,10,"t","cvm.test",0.92943025906261,0.59,"SB"
"37",10,10,"Log-normal","lillie.test",0.949991200585733,0.53,"SU"
"38",10,10,"Gamma","pearson.test",0.849467033391825,0.52,"SU"
"39",10,10,"Uniform","sf.test",0.997373987413565,0.6,"SB"
"40",10,10,"t","jarque.test",0.98183363557764,0.7,"SB"
"41",10,10,"Log-normal","shapiro.test",0.661209924633887,0.44,"SU"
"42",10,10,"Gamma","ad.test",0.508886256499309,0.43,"SU"
"43",10,10,"Uniform","energy.test",0.545454545454545,0.44,"SU"
"44",10,10,"t","cvm.test",0.449481717907274,0.42,"SU"
"45",10,10,"Log-normal","lillie.test",0.531201503509784,0.43,"SU"
"46",10,10,"Gamma","pearson.test",0.572406704470879,0.31,"SU"
"47",10,10,"Uniform","sf.test",0.602030535618339,0.45,"SU"
"48",10,10,"t","jarque.test",0.999062175454758,1.03,"SL"
"49",10,10,"Log-normal","shapiro.test",0.997186900897868,0.55,"SU"
"50",10,10,"Gamma","ad.test",0.990290266011663,0.46,"SU"
"51",10,10,"Uniform","energy.test",1,0.28,"SU"
"52",10,10,"t","cvm.test",0.996307579240248,0.45,"SU"
"53",10,10,"Log-normal","lillie.test",0.999825982444828,0.47,"SU"
"54",10,10,"Gamma","pearson.test",0.849467033391825,0.3,"SU"
"55",10,10,"Uniform","sf.test",0.999688690578109,0.48,"SU"
"56",10,10,"t","jarque.test",0.993801812604734,0.86,"SU"
"57",10,10,"Log-normal","shapiro.test",0.940387435699849,0.84,"SB"
"58",10,10,"Gamma","ad.test",0.875307512399879,0.65,"SB"
"59",10,10,"Uniform","energy.test",0.939393939393939,0.71,"SB"
"60",10,10,"t","cvm.test",0.829544764645174,0.37,"SB"
"61",10,10,"Log-normal","lillie.test",0.92510368996255,0.4,"SL"
"62",10,10,"Gamma","pearson.test",0.849467033391825,0.39,"SB"
"63",10,10,"Uniform","sf.test",0.94418753713829,0.38,"SB"
"64",10,10,"t","jarque.test",0.991990376975582,0.98,"SB"
"65",10,10,"Log-normal","shapiro.test",0.772211450038677,0.66,"SB"
"66",10,10,"Gamma","ad.test",0.641347573078488,0.43,"SL"
"67",10,10,"Uniform","energy.test",0.818181818181818,0.65,"SL"
"68",10,10,"t","cvm.test",0.781717459650334,0.67,"SL"
"69",10,10,"Log-normal","lillie.test",0.7315924374055,0.36,"SL"
"70",10,10,"Gamma","pearson.test",0.572406704470879,0.67,"SB"
"71",10,10,"Uniform","sf.test",0.740009838893274,0.63,"SB"
"72",10,10,"t","jarque.test",0.914925349169639,1.22,"SB"
"73",10,10,"Log-normal","shapiro.test",0.930418744996619,0.87,"SU"
"74",10,10,"Gamma","ad.test",0.925892434379049,0.51,"SU"
"75",10,10,"Uniform","energy.test",1,0.51,"SU"
"76",10,10,"t","cvm.test",0.951383778506872,0.49,"SU"
"77",10,10,"Log-normal","lillie.test",0.990560072212631,0.53,"SU"
"78",10,10,"Gamma","pearson.test",0.849467033391825,0.33,"SU"
"79",10,10,"Uniform","sf.test",0.969503468645933,0.53,"SU"
"80",10,10,"t","jarque.test",0.999328818116347,0.91,"SB"
"81",10,10,"Log-normal","shapiro.test",0.991555893002739,0.77,"SB"
"82",10,10,"Gamma","ad.test",0.926299045980187,0.76,"SB"
"83",10,10,"Uniform","energy.test",0.98989898989899,0.75,"SB"
"84",10,10,"t","cvm.test",0.91478041082736,0.76,"SB"
"85",10,10,"Log-normal","lillie.test",0.983807871228632,0.82,"SB"
"86",10,10,"Gamma","pearson.test",0.849467033391825,0.58,"SL"
"87",10,10,"Uniform","sf.test",0.958262383269185,0.76,"SB"
"88",10,10,"t","jarque.test",0.995982634573841,0.93,"SB"
"89",10,10,"Log-normal","shapiro.test",0.860997611007069,0.94,"SB"
"90",10,10,"Gamma","ad.test",0.830979955239916,0.59,"SB"
"91",10,10,"Uniform","energy.test",0.939393939393939,0.44,"SB"
"92",10,10,"t","cvm.test",0.914829747187047,0.33,"SB"
"93",10,10,"Log-normal","lillie.test",0.978387723541802,0.49,"SB"
"94",10,10,"Gamma","pearson.test",0.849467033391825,0.31,"SL"
"95",10,10,"Uniform","sf.test",0.865221286196909,0.67,"SB"
"96",10,10,"t","jarque.test",0.998341415777323,1.03,"SB"
"97",10,10,"Log-normal","shapiro.test",0.696898717989221,0.97,"SB"
"98",10,10,"Gamma","ad.test",0.430058086296247,0.97,"SB"
"99",10,10,"Uniform","energy.test",0.535353535353535,1,"SB"
"100",10,10,"t","cvm.test",0.389211611140926,0.97,"SB"
"101",10,10,"Log-normal","lillie.test",0.611468015963401,NA,NA
"102",10,10,"Gamma","pearson.test",0.849467033391825,0.91,"SB"
"103",10,10,"Uniform","sf.test",0.39351006954652,NA,NA
"104",10,10,"t","jarque.test",0.98304264821389,0.94,"SB"
"105",10,10,"Log-normal","shapiro.test",0.900453889613024,0.68,"SB"
"106",10,10,"Gamma","ad.test",0.73845261233609,0.67,"SB"
"107",10,10,"Uniform","energy.test",0.767676767676768,0.67,"SB"
"108",10,10,"t","cvm.test",0.618594507123889,0.66,"SB"
"109",10,10,"Log-normal","lillie.test",0.750708698279879,0.37,"SB"
"110",10,10,"Gamma","pearson.test",0.849467033391825,0.65,"SB"
"111",10,10,"Uniform","sf.test",0.88401601884966,0.66,"SB"
"112",10,10,"t","jarque.test",0.880250481946843,0.68,"SB"
"113",10,10,"Log-normal","shapiro.test",0.766763595126062,1,"SB"
"114",10,10,"Gamma","ad.test",0.509681349370272,1,"SB"
"115",10,10,"Uniform","energy.test",0.686868686868687,0.97,"SB"
"116",10,10,"t","cvm.test",0.49698726348833,0.99,"SB"
"117",10,10,"Log-normal","lillie.test",0.319878132265277,1.06,"SB"
"118",10,10,"Gamma","pearson.test",0.849467033391825,0.92,"SB"
"119",10,10,"Uniform","sf.test",0.451435151743389,1,"SB"
"120",10,10,"t","jarque.test",0.984631775001106,0.99,"SB"
"121",10,10,"Log-normal","shapiro.test",0.986328076579573,0.72,"SL"
"122",10,10,"Gamma","ad.test",0.917532991632135,0.77,"SL"
"123",10,10,"Uniform","energy.test",1,0.59,"SL"
"124",10,10,"t","cvm.test",0.940401140424728,0.79,"SL"
"125",10,10,"Log-normal","lillie.test",0.804880907730188,0.67,"SL"
"126",10,10,"Gamma","pearson.test",0.849467033391825,1.17,"SB"
"127",10,10,"Uniform","sf.test",0.914590151470253,0.61,"SL"
"128",10,10,"t","jarque.test",0.991064024766684,0.67,"SL"
"129",10,10,"Log-normal","shapiro.test",0.594489240621287,NA,NA
"130",10,10,"Gamma","ad.test",0.692341603952704,NA,NA
"131",10,10,"Uniform","energy.test",0.828282828282828,0.5,"SU"
"132",10,10,"t","cvm.test",0.821636578205943,0.47,"SU"
"133",10,10,"Log-normal","lillie.test",0.967638287516375,0.53,"SU"
"134",10,10,"Gamma","pearson.test",0.849467033391825,0.31,"SU"
"135",10,10,"Uniform","sf.test",0.746921766793875,0.68,"SL"
"136",10,10,"t","jarque.test",0.967142552442366,1.13,"SB"
"137",10,10,"Log-normal","shapiro.test",0.997025193546521,0.56,"SL"
"138",10,10,"Gamma","ad.test",0.959436767631114,0.34,"SL"
"139",10,10,"Uniform","energy.test",1,0.56,"SL"
"140",10,10,"t","cvm.test",0.963717698940541,0.56,"SL"
"141",10,10,"Log-normal","lillie.test",0.991051970384008,0.33,"SL"
"142",10,10,"Gamma","pearson.test",0.849467033391825,0.51,"SL"
"143",10,10,"Uniform","sf.test",0.985832520267765,0.57,"SL"
"144",10,10,"t","jarque.test",0.99628587047013,0.83,"SB"
"145",10,10,"Log-normal","shapiro.test",0.733520286798753,0.68,"SB"
"146",10,10,"Gamma","ad.test",0.719127703378226,0.59,"SU"
"147",10,10,"Uniform","energy.test",0.828282828282828,0.56,"SU"
"148",10,10,"t","cvm.test",0.75074700669433,0.52,"SU"
"149",10,10,"Log-normal","lillie.test",0.858708303603742,0.51,"SU"
"150",10,10,"Gamma","pearson.test",0.849467033391825,0.52,"SU"
"151",10,10,"Uniform","sf.test",0.811272095400075,0.59,"SU"
"152",10,10,"t","jarque.test",0.990958580607608,0.94,"SB"
"153",10,10,"Log-normal","shapiro.test",0.801218238672907,0.89,"SB"
"154",10,10,"Gamma","ad.test",0.544864409022401,0.88,"SB"
"155",10,10,"Uniform","energy.test",0.686868686868687,0.89,"SB"
"156",10,10,"t","cvm.test",0.575516747027881,0.76,"SL"
"157",10,10,"Log-normal","lillie.test",0.608957334779208,0.84,"SB"
"158",10,10,"Gamma","pearson.test",0.849467033391825,NA,NA
"159",10,10,"Uniform","sf.test",0.510673373899795,0.88,"SB"
"160",10,10,"t","jarque.test",0.952812593355163,0.98,"SB"
"161",10,10,"Log-normal","shapiro.test",0.867037649959757,0.57,"SU"
"162",10,10,"Gamma","ad.test",0.840368593408249,0.55,"SU"
"163",10,10,"Uniform","energy.test",0.898989898989899,0.58,"SU"
"164",10,10,"t","cvm.test",0.887825888267427,0.53,"SU"
"165",10,10,"Log-normal","lillie.test",0.831030657556651,0.62,"SU"
"166",10,10,"Gamma","pearson.test",0.849467033391825,0.46,"SU"
"167",10,10,"Uniform","sf.test",0.837549846220973,0.59,"SU"
"168",10,10,"t","jarque.test",0.997514058293682,0.97,"SL"
"169",10,10,"Log-normal","shapiro.test",0.973364964534548,0.76,"SB"
"170",10,10,"Gamma","ad.test",0.914266141163854,0.72,"SB"
"171",10,10,"Uniform","energy.test",0.97979797979798,0.71,"SB"
"172",10,10,"t","cvm.test",0.928006484468856,0.69,"SB"
"173",10,10,"Log-normal","lillie.test",0.937358787504455,0.26,"SL"
"174",10,10,"Gamma","pearson.test",0.849467033391825,0.59,"SB"
"175",10,10,"Uniform","sf.test",0.930270164230206,0.74,"SB"
"176",10,10,"t","jarque.test",0.997189346005237,0.9,"SB"
"177",10,10,"Log-normal","shapiro.test",0.998447677578803,0.71,"SB"
"178",10,10,"Gamma","ad.test",0.992592416873359,0.52,"SL"
"179",10,10,"Uniform","energy.test",1,0.31,"SL"
"180",10,10,"t","cvm.test",0.997889789842083,0.5,"SL"
"181",10,10,"Log-normal","lillie.test",1,0.32,"SL"
"182",10,10,"Gamma","pearson.test",0.849467033391825,0.29,"SL"
"183",10,10,"Uniform","sf.test",0.999947578586163,0.54,"SL"
"184",10,10,"t","jarque.test",0.999270622009922,0.87,"SB"
"185",10,10,"Log-normal","shapiro.test",0.924573898055935,0.79,"SB"
"186",10,10,"Gamma","ad.test",0.778643012965878,0.77,"SB"
"187",10,10,"Uniform","energy.test",0.848484848484849,0.75,"SB"
"188",10,10,"t","cvm.test",0.786599845751899,0.76,"SB"
"189",10,10,"Log-normal","lillie.test",0.690825830106505,0.77,"SB"
"190",10,10,"Gamma","pearson.test",0.572406704470879,0.67,"SB"
"191",10,10,"Uniform","sf.test",0.74108172039117,0.77,"SB"
"192",10,10,"t","jarque.test",0.999227873493775,0.87,"SB"
"193",10,10,"Log-normal","shapiro.test",0.835315543296797,0.69,"SB"
"194",10,10,"Gamma","ad.test",0.668448687758367,0.64,"SB"
"195",10,10,"Uniform","energy.test",0.808080808080808,0.7,"SL"
"196",10,10,"t","cvm.test",0.805667905897308,0.67,"SL"
"197",10,10,"Log-normal","lillie.test",0.942458904567607,0.67,"SL"
"198",10,10,"Gamma","pearson.test",0.849467033391825,0.48,"SL"
"199",10,10,"Uniform","sf.test",0.723684642902806,0.67,"SB"
"200",10,10,"t","jarque.test",0.968389790150972,0.65,"SB"
"201",10,10,"Log-normal","shapiro.test",0.912496888243391,0.76,"SB"
"202",10,10,"Gamma","ad.test",0.704643289843458,0.76,"SB"
"203",10,10,"Uniform","energy.test",0.797979797979798,0.75,"SB"
"204",10,10,"t","cvm.test",0.656991043327189,0.76,"SB"
"205",10,10,"Log-normal","lillie.test",0.883723855853363,0.86,"SB"
"206",10,10,"Gamma","pearson.test",0.361805027497532,0.61,"SB"
"207",10,10,"Uniform","sf.test",0.737842935363558,0.76,"SB"
"208",10,10,"t","jarque.test",0.998337064273439,0.66,"SB"
"209",10,10,"Log-normal","shapiro.test",0.95319253709774,0.73,"SB"
"210",10,10,"Gamma","ad.test",0.962702326481242,0.51,"SB"
"211",10,10,"Uniform","energy.test",1,0.46,"SB"
"212",10,10,"t","cvm.test",0.992635600592708,0.49,"SB"
"213",10,10,"Log-normal","lillie.test",0.997588412653833,0.42,"SL"
"214",10,10,"Gamma","pearson.test",0.849467033391825,0.26,"SU"
"215",10,10,"Uniform","sf.test",0.980936605904221,0.52,"SB"
"216",10,10,"t","jarque.test",0.998625036819639,0.93,"SB"
"217",10,10,"Log-normal","shapiro.test",0.95575791836963,0.82,"SB"
"218",10,10,"Gamma","ad.test",0.880477383205172,0.74,"SB"
"219",10,10,"Uniform","energy.test",0.939393939393939,0.76,"SB"
"220",10,10,"t","cvm.test",0.835982468958795,0.69,"SB"
"221",10,10,"Log-normal","lillie.test",0.956311029518334,0.63,"SB"
"222",10,10,"Gamma","pearson.test",0.572406704470879,0.57,"SB"
"223",10,10,"Uniform","sf.test",0.940288387599509,0.75,"SB"
"224",10,10,"t","jarque.test",0.997888431428494,0.95,"SB"
"225",10,10,"Log-normal","shapiro.test",0.643851056472815,0.41,"SL"
"226",10,10,"Gamma","ad.test",0.641249968733888,0.4,"SL"
"227",10,10,"Uniform","energy.test",0.737373737373737,0.39,"SL"
"228",10,10,"t","cvm.test",0.730197829982482,0.4,"SL"
"229",10,10,"Log-normal","lillie.test",0.795014745740657,0.39,"SL"
"230",10,10,"Gamma","pearson.test",0.572406704470879,0.37,"SL"
"231",10,10,"Uniform","sf.test",0.727435810365161,0.42,"SL"
"232",10,10,"t","jarque.test",0.97694544510528,0.96,"SB"
"233",10,10,"Log-normal","shapiro.test",0.99336463224755,0.61,"SB"
"234",10,10,"Gamma","ad.test",0.964982886751152,NA,NA
"235",10,10,"Uniform","energy.test",1,0.69,"SB"
"236",10,10,"t","cvm.test",0.962145866104811,NA,NA
"237",10,10,"Log-normal","lillie.test",0.992981477087096,0.58,"SB"
"238",10,10,"Gamma","pearson.test",0.849467033391825,NA,NA
"239",10,10,"Uniform","sf.test",0.996937770001402,NA,NA
"240",10,10,"t","jarque.test",0.993439832429538,0.92,"SB"
"241",10,10,"Log-normal","shapiro.test",0.881790231072579,0.32,"SU"
"242",10,10,"Gamma","ad.test",0.900788902793792,0.32,"SU"
"243",10,10,"Uniform","energy.test",0.96969696969697,0.36,"SU"
"244",10,10,"t","cvm.test",0.903365018231614,0.31,"SU"
"245",10,10,"Log-normal","lillie.test",0.946612460145923,0.3,"SU"
"246",10,10,"Gamma","pearson.test",0.849467033391825,0.27,"SU"
"247",10,10,"Uniform","sf.test",0.966799119343337,0.34,"SU"
"248",10,10,"t","jarque.test",0.983937935406155,0.92,"SU"
"249",10,10,"Log-normal","shapiro.test",0.999778972579693,0.52,"SB"
"250",10,10,"Gamma","ad.test",0.993274961360025,0.49,"SB"
"251",10,10,"Uniform","energy.test",1,0.42,"SB"
